Title,Price,Location,Link
Car cover for Renault Triber UV Protection and All Model Suitable,"₹ 2,999","Silicon Valley, Hyderabad",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-silicon-valley-hyderabad-iid-1811366698
Independent Home with covered car parking in Gated Community,"₹ 75,00,000","Babarpur, Delhi",https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-houses-villas-900-sq-ft-in-babarpur-delhi-iid-1808461223
"2BHK 896Sq. ft. flat  with covered car parking,  for sale in Eden Lake","₹ 36,00,000","Tollygunge, Kolkata",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-896-sq-ft-in-tollygunge-kolkata-iid-1811282616
Alto 800 car mud flaps and window sun shade cover,₹ 500,"Jillela Guda, Hyderabad",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-jillela-guda-hyderabad-iid-1811365795
Corner independent house with covered car parking available,"₹ 30,000","Old Rayakottah Hudco, Hosur",https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-houses-villas-2750-sq-ft-in-old-rayakottah-hudco-hosur-iid-1811364690
Covered car parking for rent at Velachery,"₹ 4,000","Velacheri, Chennai",https://www.olx.in/item/for-rent-houses-apartments-c1723-apartments-300-sq-ft-in-velacheri-chennai-iid-1791962543
Swift Car body covers,₹ 499,"Kamptee Road, Nagpur",https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-kamptee-road-nagpur-iid-1811334153
"2bhk independent flat, with covered car parking in Palm city","₹ 22,000","Patthribagh, Dehradun",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-1200-sq-ft-in-patthribagh-dehradun-iid-1811330493
2 BHK -two balcony flat with cover car parking,"₹ 23,000","Punawale, Pune",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-990-sq-ft-in-punawale-pune-iid-1811329148
All cars side mirror cover abs plastic piano black batman style,"₹ 2,000","Akashi Nagar, Guwahati",https://www.olx.in/item/spare-parts-c1585-all-cars-side-mirror-cover-abs-plastic-piano-black-batman-style-in-akashi-nagar-guwahati-iid-1810233785
2BHK fully furnished flat available for rent with covered car parking,"₹ 16,500","Bamunara, Durgapur",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-925-sq-ft-in-bamunara-durgapur-iid-1811311990
Wagon r car Body cover and spoiler,"₹ 1,200","Whitefield, Bengaluru",https://www.olx.in/item/spare-parts-c1585-wheels-tyres-in-whitefield-bengaluru-iid-1810946333
Non-negotiable 2BHK Flat with covered car parking ready for rent,"₹ 11,000","Nirala Nagar, Patna",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-1000-sq-ft-in-nirala-nagar-patna-iid-1811302028
New 2 BHK with Covered Car parking,"₹ 59,00,000","Padur, Kovalam",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-748-sq-ft-in-padur-kovalam-iid-1811296083
"Fully furnished 2BHK, covered car parking Vinayagapuram, Kolathur","₹ 25,000","Kolathur, Chennai",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-houses-villas-1900-sq-ft-in-kolathur-chennai-iid-1811283641
Tata nexon 2022 model car seat covers,"₹ 3,000","Kukatpally, Hyderabad",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-kukatpally-hyderabad-iid-1809000481
Large Size 3 bhk with  cover Car parking at NIBM,"₹ 1,45,00,000","NIBM Road Kondhwa, Pune",https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-apartments-1800-sq-ft-in-nibm-road-kondhwa-pune-iid-1746430836
2 Bedroom Hall Kitchen + Small Car Covered Parking,"₹ 11,000","Buxi Bazaar, Cuttack",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-1500-sq-ft-in-buxi-bazaar-cuttack-iid-1810211679
Covered Car parking at Tarabai Park,"₹ 1,800","Tarabai Park, Kolhapur",https://www.olx.in/item/for-rent-shops-offices-c1731-120-sq-ft-in-tarabai-park-kolhapur-iid-1808039321
Alto Car body cover,₹ 499,"Gajuwaka, Visakhapatnam",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-gajuwaka-visakhapatnam-iid-1809609734
All cars batman side mirror cover abs,"₹ 1,999","Balamrai Anna Nagar, Secunderabad",https://www.olx.in/item/spare-parts-c1585-all-cars-batman-side-mirror-cover-abs-in-balamrai-anna-nagar-secunderabad-iid-1808598620
