Scheme Name	Asset Value
BANDHAN Banking & PSU Debt Fund - Direct Fortnightly IDCW	10.4565
BANDHAN Banking & PSU Debt Fund - Direct Growth	25.3921
BANDHAN Banking & PSU Debt Fund - Direct IDCW	13.3570
BANDHAN Banking & PSU Debt Fund - Direct Monthly IDCW	10.4422
BANDHAN Banking & PSU Debt Fund - Direct Quarterly IDCW	11.1736
BANDHAN Banking & PSU Debt Fund - Regular Annual IDCW	11.3659
BANDHAN Banking & PSU Debt Fund - Regular Daily IDCW	10.8642
BANDHAN Banking & PSU Debt Fund - Regular Fortnightly IDCW	10.6115
BANDHAN Banking & PSU Debt Fund - Regular Growth	24.6740
BANDHAN Banking & PSU Debt Fund - Regular IDCW	13.3238
BANDHAN Banking & PSU Debt Fund - Regular Monthly IDCW	10.6843
BANDHAN Banking & PSU Debt Fund - Regular Quarterly IDCW	11.0664
Baroda BNP Paribas Banking and PSU Bond Fund -Direct Plan-Monthly IDCW Option	10.5387
Baroda BNP Paribas Banking and PSU Bond Fund- Direct Plan -Growth Option	12.9567
Baroda BNP Paribas Banking and PSU Bond Fund-Direct plan-Quarterly IDCW Option	10.7038
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Growth Option	12.6758
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Monthly IDCW Option	10.3739
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan-Quarterly IDCW Option	10.4814
Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option	12.1861
Canara Robeco Banking and PSU Debt Fund- Direct Plan- IDCW Payout	11.0162
Canara Robeco Banking and PSU Debt Fund- Regular Plan- Growth Option	12.0831
Canara Robeco Banking and PSU Debt Fund- Regular Plan- IDCW (Payout/ Reinvestment)	10.9296
DSP Banking & PSU Debt Fund - Direct Plan - Growth	24.9646
DSP Banking & PSU Debt Fund - Direct Plan - IDCW	10.528
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Daily Reinvest	10.1311
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Monthly	10.3314
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Quarterly 	10.5342
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Weekly	10.1325
DSP Banking & PSU Debt Fund - Regular Plan - Growth	24.11
DSP Banking & PSU Debt Fund - Regular Plan - IDCW	10.5191
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Daily Reinvest	10.1297
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Monthly	10.3189
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Quarterly 	10.5227
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Weekly	10.131
Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth Option	25.6144
Edelweiss Banking and PSU Debt Fund - Direct Plan - IDCW Option	18.9174
Edelweiss Banking and PSU Debt Fund - Direct Plan Fortnightly - IDCW Option	14.5082
Edelweiss Banking and PSU Debt Fund - Direct Plan Monthly - IDCW Option	10.8915
Edelweiss Banking and PSU Debt Fund - Direct Plan weekly - IDCW Option	10.526
Edelweiss Banking and PSU Debt Fund - Regular Plan - Growth Option	24.7206
Edelweiss Banking and PSU Debt Fund - Regular Plan - IDCW Option	18.0762
Edelweiss Banking and PSU Debt Fund - Regular Plan Fortnightly - IDCW Option	14.0415
Edelweiss Banking and PSU Debt Fund - Regular Plan Monthly - IDCW Option	11.1329
Edelweiss Banking and PSU Debt Fund - Regular Plan Weekly - IDCW Option	10.1198
Franklin India Banking & PSU Debt Fund - Direct - Growth	23.5004
Franklin India Banking & PSU Debt Fund - Growth	22.4962
Franklin India Banking and PSU Debt Fund - Direct - IDCW 	11.4682
Franklin India Banking and PSU Debt Fund - IDCW 	10.8519
HDFC Banking and PSU Debt Fund - Growth Option	23.072
HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan	24.0217
HDFC Banking and PSU Debt Fund - IDCW Option	10.2347
HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan	9.9957
HSBC Banking and PSU Debt Fund - Direct Daily IDCW	11.1468
HSBC Banking and PSU Debt Fund - Direct Growth	25.6097
HSBC Banking and PSU Debt Fund - Direct Monthly IDCW	11.4152
HSBC Banking and PSU Debt Fund - Direct Weekly IDCW	10.3349
HSBC Banking and PSU Debt Fund - Regular Daily IDCW	11.0702
HSBC Banking and PSU Debt Fund - Regular Growth	24.3142
HSBC Banking and PSU Debt Fund - Regular Monthly IDCW	10.6874
HSBC Banking and PSU Debt Fund - Regular Weekly IDCW	10.3063
ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW	10.0549
ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW	10.2427
ICICI Prudential Banking and PSU Debt Fund - Bonus	15.8889
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW	10.2538
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth	34.1787
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW	13.0973
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW	10.3708
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus	13.8665
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option	13.1098
ICICI Prudential Banking and PSU Debt Fund - Growth	32.7904
ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW	11.0903
ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option	12.9261
ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend	10.0122
ICICI Prudential Banking and PSU Debt Fund Retail Growth	21.631
ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend	10.3305
Invesco India Banking and PSU Fund - Daily IDCW (Reinvestment)	1046.2618
Invesco India Banking and PSU Fund - Direct Plan -  Growth Option	2433.0249
Invesco India Banking and PSU Fund - Direct Plan - Daily IDCW (Reinvestment)	1059.5184
Invesco India Banking and PSU Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment)	1007.8253
Invesco India Banking and PSU Fund - Growth Option	2272.6901
Invesco India Banking and PSU Fund - Monthly IDCW (Payout / Reinvestment)	1058.3808
ITI Banking & PSU Debt Fund - Direct Plan - Growth Option	13.3932
ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option	13.3943
ITI Banking & PSU Debt Fund - Regular Plan - Growth Option	13.0527
ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option	13.0538
Kotak Banking and PSU Debt - Annual Dividend	16.1842
Kotak Banking and PSU Debt - Daily Dividend Reinvestment	10.188
Kotak Banking and PSU Debt - Direct Daily Dividend Reinvestment	10.2604
Kotak Banking and PSU Debt - Growth	65.6046
Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option	12.3256
Kotak Banking and PSU Debt Direct - Annual Dividend	17.1427
Kotak Banking and PSU Debt Direct - Growth	68.3506
Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option	10.2517
LIC MF Banking & PSU Fund-Direct Plan-Daily IDCW	14.2518
LIC MF Banking & PSU Fund-Direct Plan-Growth	37.6758
LIC MF Banking & PSU Fund-Direct Plan-Monthly IDCW	14.1892
LIC MF Banking & PSU Fund-Direct Plan-Weekly IDCW	10.0395
LIC MF Banking & PSU Fund-Regular Plan-Daily IDCW	11.2383
LIC MF Banking & PSU Fund-Regular Plan-Growth	34.9368
LIC MF Banking & PSU Fund-Regular Plan-Monthly IDCW	13.0755
LIC MF Banking & PSU Fund-Regular Plan-Weekly IDCW	10.3687
Mirae Asset Banking and PSU Fund - Direct Plan - Growth	13.2828
Mirae Asset Banking and PSU Fund - Direct Plan - IDCW	13.2781
Mirae Asset Banking and PSU Fund - Regular Plan - Growth	12.9929
Mirae Asset Banking and PSU Fund - Regular plan - IDCW	12.9939
Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Bonus Option	21.6111
Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Growth Option	21.6110
Nippon India Banking  & PSU Debt Fund- Growth Plan- Bonus Option	12.3452
Nippon India Banking  & PSU Debt Fund- Growth Plan- Growth Option	20.8260
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - IDCW Option	21.6110
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - MONTHLY IDCW Option	10.7419
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - QUARTERLY IDCW Option	10.8214
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - WEEKLY IDCW Option	10.4361
NIPPON INDIA BANKING & PSU DEBT FUND - IDCW Option	20.8260
NIPPON INDIA BANKING & PSU DEBT FUND - MONTHLY IDCW Option	10.6743
NIPPON INDIA BANKING & PSU DEBT FUND - QUARTERLY IDCW Option	10.7632
NIPPON INDIA BANKING & PSU DEBT FUND - WEEKLY IDCW Option	10.4370
SBI Banking & PSU Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)	1463.8736
SBI BANKING & PSU FUND - Direct Plan - Growth	3323.4156
SBI Banking & PSU Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	1312.0762
SBI Banking & PSU Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	1460.6241
SBI BANKING & PSU FUND - Regular Paln - Growth	3127.5841
SBI Banking & PSU Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)	1426.8906
SBI Banking & PSU Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	1230.9031
SBI Banking & PSU Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	1426.5469
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Growth	11.7065
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Monthly Dividend	11.4008
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Quarterly Dividend	10.6356
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Annual Bonus	11.6319
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Daily Dividend Reinvestment	11.6582
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Growth	11.6493
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Monthly Dividend	11.1411
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Bonus	11.1681
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Dividend	11.0236
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Weekly Dividend	10.1418
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Bonus	21.8994
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	10.2300
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Growth	43.7751
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)	11.6918
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Bonus	21.7659
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	10.3550
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Growth	43.1630
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)	11.7366
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Weekly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	12.1035
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Growth	35.6206
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)	11.4908
TRUSTMF BANKING & PSU FUND - DIRECT GROWTH	1300.0507
TRUSTMF BANKING & PSU FUND - REGULAR GROWTH	1271.7689
TRUSTMF BANKING & PSU FUND DIRECT PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION	1140.3259
TRUSTMF BANKING & PSU FUND DIRECT PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1298.373
TRUSTMF BANKING & PSU FUND DIRECT PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION	1139.3416
TRUSTMF BANKING & PSU FUND DIRECT PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1155.84
TRUSTMF BANKING & PSU FUND DIRECT PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1120.966
TRUSTMF BANKING & PSU FUND REGULAR PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1113.4116
TRUSTMF BANKING & PSU FUND REGULAR PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1226.6294
TRUSTMF BANKING & PSU FUND REGULAR PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1119.7813
TRUSTMF BANKING & PSU FUND REGULAR PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1130.6216
TRUSTMF BANKING & PSU FUND REGULAR PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1104.0149
UTI Banking & PSU Fund - Direct Plan - Annual IDCW	13.2137
UTI Banking & PSU Fund - Direct Plan - Flexi IDCW	19.2677
UTI Banking & PSU Fund - Direct Plan - Growth Option	22.3593
UTI Banking & PSU Fund - Direct Plan - Half-Yearly IDCW	14.8371
UTI Banking & PSU Fund - Direct Plan - Monthly IDCW	13.4947
UTI Banking & PSU Fund - Direct Plan - Quarterly IDCW	16.6417
UTI Banking & PSU Fund - Regular Plan - Annual IDCW	12.9719
UTI Banking & PSU Fund - Regular Plan - Flexi IDCW	14.7432
UTI Banking & PSU Fund - Regular Plan - Half-Yearly IDCW	14.6814
UTI Banking & PSU Fund - Regular Plan - Monthly IDCW	13.2726
UTI Banking & PSU Fund - Regular Plan - Quarterly IDCW	15.0871
UTI Banking & PSU Fund- Regular Plan - Growth Option	21.9848
Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan	115.1201
Aditya Birla Sun Life Corporate Bond Fund - Growth - Regular Plan	113.2018
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - IDCW	10.721
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - MONTHLY IDCW	12.8958
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - IDCW	12.0416
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - MONTHLY IDCW	12.6977
Axis Corporate Bond Fund - Direct Plan - Daily IDCW	10.2085
Axis Corporate Bond Fund - Direct Plan - Monthly IDCW	10.1909
Axis Corporate Bond Fund - Direct Plan - Regular IDCW	14.1559
Axis Corporate Bond Fund - Direct Plan - Weekly IDCW	10.3706
Axis Corporate Bond Fund - Direct Plan Growth	18.1450
Axis Corporate Bond Fund - Regular Plan - Daily IDCW	10.2053
Axis Corporate Bond Fund - Regular Plan - Monthly IDCW	10.1875
Axis Corporate Bond Fund - Regular Plan - Regular IDCW	13.2475
Axis Corporate Bond Fund - Regular Plan - Weekly IDCW	10.2250
Axis Corporate Bond Fund - Regular Plan Growth	17.1463
BANDHAN Corporate Bond Fund - Direct Annual IDCW	10.5447
BANDHAN Corporate Bond Fund - Direct Growth	19.8700
BANDHAN Corporate Bond Fund - Direct Half Yearly IDCW	11.8428
BANDHAN Corporate Bond Fund - Direct Monthly IDCW	10.3492
BANDHAN Corporate Bond Fund - Direct Periodic IDCW	13.1824
BANDHAN Corporate Bond Fund - Direct Quarterly IDCW	10.8747
BANDHAN Corporate Bond Fund - Regular Annual IDCW	10.5298
BANDHAN Corporate Bond Fund - Regular Growth	19.2974
BANDHAN Corporate Bond Fund - Regular Half Yearly IDCW	11.2149
BANDHAN Corporate Bond Fund - Regular Monthly IDCW	10.6005
BANDHAN Corporate Bond Fund - Regular Periodic IDCW	13.0090
BANDHAN Corporate Bond Fund - Regular Quarterly IDCW	10.9060
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Annual-IDCW Option	11.5049
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Growth Option	31.9613
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Monthly-IDCW Option	10.5176
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Quarterly-IDCW Option	10.6401
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Annual IDCW Option	11.7455
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Growth Option	29.3026
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Monthly IDCW Option	10.6830
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Quarterly IDCW Option	10.8502
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - ANNUAL IDCW OPTION	11.4305
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - GROWTH OPTION	27.6143
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - MONTHLY IDCW OPTION	10.5581
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - QUARTERLY IDCW OPTION	10.6608
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - GROWTH OPTION	23.3089
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - IDCW (Payout/Reinvestment)	12.4128
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - GROWTH OPTION	21.7577
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - IDCW (Payout/Reinvestment)	11.6031
DSP Corporate Bond Fund - Direct - Growth	16.2759
DSP Corporate Bond Fund - Direct - IDCW	11.5094
DSP Corporate Bond Fund - Direct - IDCW - Monthly	10.6064
DSP Corporate Bond Fund - Direct - IDCW - Quarterly 	11.5571
DSP Corporate Bond Fund - Regular - Growth	15.9977
DSP Corporate Bond Fund - Regular - IDCW	11.4806
DSP Corporate Bond Fund - Regular - IDCW - Monthly	10.5818
DSP Corporate Bond Fund - Regular - IDCW - Quarterly 	10.8939
Franklin India Corporate Debt Fund - Direct - GROWTH	108.1768
Franklin India Corporate Debt Fund - Growth	99.9036
Franklin India Corporate Debt Fund - Plan A - Annual - IDCW	17.0547
Franklin India Corporate Debt Fund - Plan A - Direct - Annual - IDCW	19.1479
Franklin India Corporate Debt Fund - Plan A - Direct - Half yearly - IDCW	15.1841
Franklin India Corporate Debt Fund - Plan A - Direct - Monthly - IDCW	17.3260
Franklin India Corporate Debt Fund - Plan A - Direct - Quarterly - IDCW	13.7518
Franklin India Corporate Debt Fund - Plan B - Half yearly - IDCW	12.8915
Franklin India Corporate Debt Fund - Plan B - Monthly - IDCW	15.4062
Franklin India Corporate Debt Fund - Plan B - Quarterly - IDCW	12.0804
HDFC Corporate Bond Fund - Growth Option	32.6492
HDFC Corporate Bond Fund - Growth Option - Direct Plan	33.3606
HDFC Corporate Bond Fund - IDCW Option	19.7649
HDFC Corporate Bond Fund - IDCW Option - Direct Plan	20.441
HDFC Corporate Bond Fund - Quarterly IDCW Option	10.6659
HDFC Corporate Bond Fund - Quarterly IDCW Option - Direct Plan	10.5516
HSBC Corporate Bond Fund - Direct Annual IDCW	12.0101
HSBC Corporate Bond Fund - Direct Growth	78.0773
HSBC Corporate Bond Fund - Direct Quarterly IDCW	11.6547
HSBC Corporate Bond Fund - Direct Semi Annual IDCW	20.3957
HSBC Corporate Bond Fund - Regular Annual IDCW	11.7525
HSBC Corporate Bond Fund - Regular Growth	73.3
HSBC Corporate Bond Fund - Regular Quarterly IDCW	11.2426
HSBC Corporate Bond Fund - Regular Semi Annual IDCW	17.0522
HSBC Corporate Bond Fund -Regular Plan - Bonus	27.8433
ICICI Prudential Corporate Bond Fund - Bonus	14.9782
ICICI Prudential Corporate Bond Fund - Daily IDCW	10.1065
ICICI Prudential Corporate Bond Fund - Direct Plan - Daily IDCW	10.1008
ICICI Prudential Corporate Bond Fund - Direct Plan - Fortnightly IDCW	12.1669
ICICI Prudential Corporate Bond Fund - Direct Plan - Growth	31.3262
ICICI Prudential Corporate Bond Fund - Direct Plan - Half Yearly IDCW Option	12.8827
ICICI Prudential Corporate Bond Fund - Direct Plan - Monthly IDCW	10.2455
ICICI Prudential Corporate Bond Fund - Direct Plan - Quarterly IDCW	15.6032
ICICI Prudential Corporate Bond Fund - Direct Plan - Weekly IDCW	10.2332
ICICI Prudential Corporate Bond Fund - Fortnightly IDCW	10.2243
ICICI Prudential Corporate Bond Fund - Growth	29.9074
ICICI Prudential Corporate Bond Fund - Half Yearly IDCW Option	12.6555
ICICI Prudential Corporate Bond Fund - Monthly IDCW	10.3988
ICICI Prudential Corporate Bond Fund - Premium Daily Dividend	10.0277
ICICI Prudential Corporate Bond Fund - Premium Monthly Dividend	10.0770
ICICI Prudential Corporate Bond Fund - Weekly IDCW	10.3040
ICICI Prudential Corporate Bond Fund -Quarterly IDCW	11.2811
ICICI Prudential Corporate Bond Fund Retail Daily Dividend	10.0275
ICICI Prudential Corporate Bond Fund Retail Fort Nightly Dividend	10.3041
ICICI Prudential Corporate Bond Fund Retail Growth	22.7853
ICICI Prudential Corporate Bond Fund Retail Monthly Dividend	10.3008
ICICI Prudential Corporate Bond Fund Retail Quarterly Dividend	10.9335
ICICI Prudential Corporate Bond Fund Retail Weekly Dividend	10.2202
Invesco India Corporate Bond Fund - Annual IDCW (Payout / Reinvestment)	1969.8992
Invesco India Corporate Bond Fund - Direct Plan - Annual IDCW (Payout / Reinvestment)	1258.9682
Invesco India Corporate Bond Fund - Direct Plan - Discretionary IDCW (Payout / Reinvestment)	3418.964
Invesco India Corporate Bond Fund - Direct Plan - Growth	3417.8881
Invesco India Corporate Bond Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment)	1254.2344
Invesco India Corporate Bond Fund - Direct Plan - Quarterly IDCW (Payout / Reinvestment)	1172.2943
Invesco India Corporate Bond Fund - Discretionary IDCW (Payout / Reinvestment)	3350.2957
Invesco India Corporate Bond Fund - Growth	3189.625
Invesco India Corporate Bond Fund - Monthly IDCW (Payout / Reinvestment)	1828.1874
Invesco India Corporate Bond Fund - Quarterly IDCW (Payout / Reinvestment)	1166.8399
Kotak Coporate Bond Fund- Retail Plan-Growth Option	2034.9063
Kotak Corporate Bond Fund- Direct Plan- Growth Option	3954.8065
Kotak Corporate Bond Fund- Direct Plan- Monthly Payout of Income Distribution cum capital withdrawal option	1073.3142
Kotak Corporate Bond Fund- Institutional Plan-Growth Option	2090.4924
Kotak Corporate Bond Fund- Regular Plan-Growth Option	3787.8546
Kotak Corporate Bond Fund- Regular Plan-Monthly Dividend Option	1233.9362
Kotak Corporate Bond Fund- Regular Plan-Quarterly Dividend Option	1066.6837
Kotak Corporate Bond Fund- Retail Plan- Monthly Dividend Option	1040.0538
Kotak Corporate Bond Fund- Retail Plan- Weekly Dividend Option	1052.3061
Kotak Corporate Bond Fund- Retail Plan-Daily Dividend Option	1052.6393
Kotak Corporate Bond Fund- Standard Plan-Daily Dividend Option	1052.7994
Kotak Corporate Bond Fund- Standard Plan-Weekly Dividend Option	1202.9939
Mirae Asset Corporate Bond Fund Direct Growth Plan	13.0450
Mirae Asset Corporate Bond Fund Direct IDCW	13.0421
Mirae Asset Corporate Bond Fund Regular Growth	12.8005
Mirae Asset Corporate Bond Fund Regular IDCW	12.8005
NIPPON INDIA CORPORATE BOND FUND - DAILY IDCW Option	17.0377
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - DAILY IDCW Option	17.0411
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - IDCW Option	20.0290
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - MONTHLY IDCW Option	11.7698
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - QUARTERLY IDCW Option	12.1048
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - WEEKLY IDCW Option	17.0866
Nippon India Corporate Bond Fund - Direct Plan Growth Plan - Bonus	45.1277
Nippon India Corporate Bond Fund - Direct Plan Growth Plan - Growth Option	63.2082
Nippon India Corporate Bond Fund - Growth Plan - Bonus Option	43.0220
Nippon India Corporate Bond Fund - Growth Plan - Growth Option	60.2386
NIPPON INDIA CORPORATE BOND FUND - IDCW Option	19.2988
NIPPON INDIA CORPORATE BOND FUND - MONTHLY IDCW Option	11.6416
NIPPON INDIA CORPORATE BOND FUND - QUARTERLY IDCW Option	11.9525
NIPPON INDIA CORPORATE BOND FUND - WEEKLY IDCW Option	17.0827
PGIM India Corporate Bond Fund - Annual Dividend	10.5218
PGIM India Corporate Bond Fund - Direct Plan - Annual Dividend	16.1632
